account_number,bank,balance,creation_date,insurance
8968761754,BAM,509,2020-05-15,True
4758093452,Banco Azteca,6870,2010-06-27,True
8147602123,G&T,6453,2013-09-17,True
8073352479,Banrural,6420,2013-01-03,False
4649669249,BAM,5697,2015-01-21,True
8919608683,Ficohsa,2442,2018-11-27,False
2989949887,Bantrab,4363,2015-03-11,False
4668966593,BAM,1553,2016-05-20,False
8750602395,Banco Industrial,3935,2020-08-21,False
8636650585,G&T,1539,2021-03-20,False
2485014294,G&T,5795,2015-04-20,False
4405468862,Banco Industrial,2081,2017-09-08,True
3704697143,Banrural,4392,2010-07-29,False
1585149251,Ficohsa,353,2021-10-06,True
3610814580,BAM,873,2010-09-15,False
8310268136,Ficohsa,864,2022-11-16,True
7379305128,Banrural,790,2017-02-09,False
3862515556,Banco Azteca,6039,2019-04-26,True
5794309934,G&T,2520,2020-01-17,False
3402167300,Bantrab,5405,2011-07-13,True
8404655824,BAM,3151,2014-01-22,False
3130115198,Bantrab,3309,2015-08-14,True
5672731891,Banco Industrial,2374,2010-03-08,False
3510880256,Banco Industrial,3789,2011-12-01,False
5599743129,Banrural,1404,2013-02-09,False
8038956505,Banco Azteca,2299,2020-02-05,False
8806481561,Banco Azteca,4118,2013-12-12,False
8338676165,Banco Azteca,4200,2022-05-03,False
2192894262,Banrural,3975,2022-08-03,False
3114849755,BAM,5283,2017-07-01,True
2688551832,Banco Azteca,5591,2016-03-24,False
7007530938,Banco Industrial,1623,2010-02-14,False
7912486479,Banco Azteca,3175,2023-04-13,True
3377833980,Bantrab,1616,2010-02-12,False
2208265245,Banrural,2282,2010-12-04,False
8057737402,Ficohsa,5713,2011-06-30,True
1752660581,Bantrab,1663,2023-11-29,False
2350169259,BAM,4815,2010-07-31,False
3992990345,G&T,6745,2021-08-20,True
5544915510,Ficohsa,2262,2018-03-03,False
6369458691,Banrural,973,2010-05-31,False
6333809557,Banco Industrial,1603,2021-04-02,False
2666155317,G&T,3024,2022-11-13,True
8669715202,BAM,3402,2017-08-27,False
2940478491,G&T,6587,2019-05-07,True
8143773639,G&T,5862,2023-11-14,True
6748129563,G&T,3892,2012-10-28,True
8797939965,Banco Industrial,6747,2020-11-12,True
5632663140,Bantrab,5812,2017-10-31,False
2275663963,Ficohsa,5351,2023-10-21,True
5575385062,Banco Azteca,2883,2019-12-15,True
2924051160,Banco Azteca,5012,2012-12-01,False
2425891687,Ficohsa,679,2018-06-10,True
1714221813,Banco Industrial,3071,2011-07-06,False
6121531744,Banco Industrial,1421,2020-09-22,False
2905172964,Ficohsa,662,2018-09-22,True
2574503557,Banco Azteca,6659,2017-07-02,False
5361934797,Banco Industrial,3104,2019-03-13,False
5328697431,G&T,3454,2013-07-23,True
5117226982,Banrural,4063,2015-03-21,True
3625619454,Banrural,3843,2013-08-09,False
8586653426,Banrural,1680,2015-02-04,True
2147693778,Banco Industrial,6380,2022-01-09,True
1431328278,Banco Industrial,5082,2020-12-04,True
8665415421,BAM,4324,2018-04-13,False
6869222769,Ficohsa,6876,2022-07-25,True
7016309500,BAM,4697,2016-10-23,True
6148807003,Banco Industrial,477,2011-02-20,False
8125967021,BAM,4659,2012-05-28,False
4829641529,BAM,3600,2014-05-01,False
6608664131,Banco Azteca,4323,2019-10-16,True
7245977970,Banco Industrial,3033,2013-02-22,True
5955425014,Ficohsa,4182,2022-05-24,True
8668253199,Bantrab,773,2013-06-04,False
5131857569,BAM,4085,2011-01-10,False
5512239714,G&T,6499,2021-11-26,True
8055869756,Banco Industrial,5822,2019-05-20,True
5571612400,BAM,3705,2017-01-23,True
8252550214,Banrural,6135,2015-07-03,False
7489223525,Banco Industrial,4154,2010-03-17,True
7900277079,Ficohsa,1454,2017-08-14,False
7115028392,Ficohsa,3021,2014-04-23,False
6070113245,Banco Industrial,398,2016-12-01,True
2102184520,Banco Industrial,36,2020-03-14,True
6186370789,Banco Azteca,3971,2011-03-16,False
7055241839,G&T,3620,2021-10-19,True
1660353317,Banco Azteca,5845,2023-09-13,True
4168712686,Banrural,380,2016-12-11,True
3182481739,BAM,5578,2020-09-26,True
5366167540,G&T,2522,2018-12-04,False
8001546736,BAM,5893,2016-08-14,False
3419490893,Banrural,1727,2015-07-30,False
3000096695,BAM,5595,2021-02-16,False
5954669494,Banrural,2776,2012-07-02,True
3746994456,Banco Azteca,5744,2019-06-07,True
4279735223,G&T,1200,2021-07-03,True
2531706945,Banco Azteca,5995,2010-04-05,True
6344689193,BAM,3455,2010-01-30,False
1273772383,Banco Azteca,2668,2023-02-17,False
3432775611,Bantrab,4173,2018-05-07,False
2990009499,Banco Industrial,2342,2017-10-18,True
2074820043,Banco Industrial,598,2020-09-07,True
8894207904,G&T,2441,2015-08-16,True
4754402552,Banco Azteca,6149,2016-04-10,True
6207254867,Banco Industrial,361,2010-07-27,True
8886494438,Banrural,2557,2010-02-12,True
1243138603,BAM,2531,2019-11-25,True
6893123826,Banrural,2176,2019-01-24,False
2904090037,Banco Industrial,1499,2021-02-25,True
7990502250,Banrural,6838,2020-03-06,False
8033437758,Banco Azteca,122,2017-03-24,False
1806064086,Ficohsa,2102,2014-08-04,True
5694767626,Banrural,5899,2012-12-30,False
4018471807,Banrural,746,2014-06-28,True
8268735724,Bantrab,539,2013-06-18,True
3620419520,Banco Azteca,624,2022-12-04,False
7521362137,Bantrab,2133,2015-03-07,False
7895232623,BAM,2024,2011-03-12,True
7948797869,Banco Industrial,2463,2012-07-01,False
8346691179,Ficohsa,2909,2023-11-21,False
7707014363,Banrural,5255,2011-09-20,False
4882147891,Bantrab,751,2017-04-08,True
5380117725,Banco Azteca,6774,2019-03-30,False
3861549709,Banco Industrial,4717,2020-09-27,True
7421656340,BAM,2705,2017-12-12,True
4399277301,Banco Azteca,3668,2012-04-18,False
2344448523,Banco Azteca,3432,2022-12-22,False
2356072450,Ficohsa,5315,2023-01-17,False
3965319383,Ficohsa,3337,2020-08-29,True
1906495384,Bantrab,4741,2018-03-01,False
3182263596,Banrural,28,2018-05-09,False
4429493456,Ficohsa,1305,2019-11-29,False
5289444299,Ficohsa,2792,2017-02-19,True
6107181052,Banco Industrial,2882,2020-01-05,True
3611219515,BAM,4153,2021-08-07,False
4145561549,Banco Industrial,3878,2012-10-12,False
5445939085,Banco Azteca,5875,2011-08-13,True
2093313038,Ficohsa,1012,2012-03-14,False
8172667542,BAM,3253,2012-02-19,True
3017466320,BAM,3892,2010-02-02,True
1568561253,Banco Azteca,994,2014-11-26,True
8984922973,Banco Industrial,1618,2020-08-28,True
2594543659,Banco Azteca,1835,2022-08-04,True
8322119816,Banco Azteca,4249,2012-09-03,False
3914987399,Bantrab,355,2010-06-27,False
1803413564,Banco Azteca,6420,2011-12-19,True
4089503518,Banco Azteca,5068,2019-07-25,True
8093776227,Ficohsa,1751,2020-08-07,False
5287835491,Banco Azteca,5793,2013-10-02,False
7275964756,Banrural,816,2015-01-13,True
3852690146,Ficohsa,5117,2013-04-06,True
2012149039,Banco Azteca,1351,2012-04-22,False
6598417278,Ficohsa,989,2011-11-25,False
6108079050,Bantrab,809,2013-12-10,False
6349017788,Banco Industrial,1530,2021-04-14,True
3488244700,Ficohsa,964,2018-10-02,True
6198510613,Bantrab,6807,2010-08-26,True
6368542794,Banco Industrial,1982,2014-06-18,False
1240295080,G&T,6301,2011-08-30,True
4905694907,Banrural,3692,2015-11-24,True
3690065682,Banco Industrial,481,2018-06-03,False
8395978251,G&T,5441,2023-12-15,True
2791193470,Bantrab,24,2020-04-12,True
3812015062,G&T,6452,2022-11-29,False
2432268825,Bantrab,4287,2023-07-15,False
6021079633,BAM,6686,2017-03-16,False
3572998580,Banco Azteca,6502,2016-03-29,True
7495560052,BAM,3582,2011-03-12,False
7923604375,BAM,3556,2010-01-19,True
3791249090,Banco Industrial,2292,2021-11-07,False
4479355662,Banrural,4003,2020-05-05,True
1990764041,Banrural,1836,2010-07-25,True
6789733612,G&T,5172,2012-10-29,False
7978924883,Bantrab,2557,2010-09-02,False
2929454858,Bantrab,6862,2019-06-10,True
7411752886,Banrural,3829,2016-09-14,False
3617614900,Banco Industrial,167,2020-06-19,False
8979992914,Banco Industrial,2517,2017-10-08,True
4702179408,Bantrab,5719,2013-10-11,True
5320172061,Ficohsa,4331,2011-08-15,False
2182828776,Banco Azteca,5259,2021-10-14,True
7563570665,Banco Industrial,6636,2013-02-15,False
8087530602,Banco Industrial,1340,2011-03-29,False
5595180963,G&T,6911,2014-11-01,False
5522680845,BAM,2102,2020-08-23,True
8244294816,Banrural,3808,2018-04-04,False
4835441589,Banco Industrial,2350,2014-09-22,False
4490134861,Banco Industrial,236,2013-11-08,False
2970393823,Bantrab,4345,2012-05-09,False
2153169150,Banco Azteca,1561,2015-03-24,False
4166516190,Ficohsa,2280,2017-02-16,True
8915490324,Ficohsa,6974,2016-08-28,True
6089370912,Bantrab,5020,2018-05-27,False
1381760305,Banco Azteca,6141,2020-11-03,False
3291099642,Ficohsa,1132,2019-10-29,True
6309745943,Bantrab,1179,2018-03-26,False
3812300296,Banco Azteca,238,2022-11-04,True
1101864987,Banco Azteca,2096,2020-07-07,True
7994179989,Banco Industrial,6051,2016-09-09,True
6218258227,Bantrab,4934,2017-02-23,False
8988486057,Banco Industrial,2763,2022-10-24,True
6748484973,Banrural,6250,2018-08-14,True
7301661717,BAM,5425,2021-09-14,True
7499646580,BAM,4711,2018-06-17,True
5042433534,Banco Industrial,3658,2010-07-23,True
1866392941,Ficohsa,1396,2016-06-27,False
5881989375,G&T,4211,2019-07-07,False
4228481904,Banrural,4637,2022-11-12,True
5793754273,Banco Industrial,3245,2023-01-07,False
4129296341,Ficohsa,6346,2014-06-09,False
1862678255,BAM,5164,2016-04-26,False
4722745392,Bantrab,5099,2016-05-08,True
6124139066,Ficohsa,6287,2017-08-06,False
3584503032,Banco Industrial,6283,2010-08-26,True
3027537562,Banco Industrial,1900,2016-08-07,True
1399271843,Banrural,4654,2011-12-20,True
5442502750,Bantrab,5586,2012-05-05,False
1296673259,G&T,1856,2022-02-02,True
2070322224,Banrural,3584,2012-02-22,True
4231827437,G&T,5845,2019-04-02,True
6173190058,Banrural,6705,2016-10-18,False
5293709164,Banrural,6186,2012-09-29,False
3089528121,Banco Industrial,1023,2014-09-06,False
5638079586,Banrural,5864,2018-04-18,False
8959626966,Banrural,4153,2011-09-10,False
5269393783,Bantrab,5036,2022-10-30,True
2020249316,Banrural,3040,2019-02-09,False
3547721851,Banco Industrial,1442,2018-07-26,True
4524675358,Ficohsa,6467,2019-09-22,True
4792437257,Ficohsa,5077,2021-08-26,False
7049670836,Ficohsa,6048,2022-11-24,True
5030478342,Ficohsa,1924,2013-04-21,True
4549898626,BAM,3122,2014-03-27,True
1996562716,Banco Azteca,4029,2019-02-02,True
7933522043,BAM,359,2023-02-18,False
3100694579,Ficohsa,4174,2018-01-25,False
4102813014,Banco Industrial,4364,2019-09-10,True
5187196991,Banco Azteca,3839,2013-02-16,False
6496132675,BAM,2213,2015-07-09,True
6753799175,Ficohsa,5193,2018-06-11,True
2150417554,Ficohsa,1311,2016-11-10,True
5312383084,Bantrab,3135,2021-03-07,True
1339248231,G&T,1856,2014-11-10,True
8279583175,G&T,2034,2013-09-22,True
5282236299,Banco Azteca,6316,2020-04-26,True
6691428604,Banco Industrial,4129,2017-12-04,True
6598296666,Bantrab,5043,2022-02-06,False
2381841021,G&T,6132,2012-09-11,True
2878620971,Banco Azteca,248,2011-07-15,False
8518245575,Banrural,6255,2021-05-03,True
6404481931,Banrural,6840,2018-10-04,True
5046774504,Banco Industrial,6043,2011-04-13,True
7581197279,Banrural,6424,2016-04-21,False
5870077558,Ficohsa,4913,2020-11-11,False
2925289748,Banco Industrial,2950,2011-09-17,False
5233927456,BAM,5713,2015-07-18,True
8373884760,Ficohsa,5394,2018-09-24,False
6682084341,G&T,917,2018-07-18,True
1416891056,Banrural,2733,2012-10-05,True
2091788889,Ficohsa,5014,2023-01-08,False
7944894153,Banco Azteca,1183,2016-04-09,False
3665056977,G&T,5748,2023-09-08,True
7406107563,Bantrab,1695,2015-09-08,False
4855214662,Banrural,2958,2012-06-08,True
8728778373,Bantrab,467,2016-08-23,False
3009688722,G&T,1746,2013-09-13,False
7052880996,Ficohsa,6747,2021-11-29,False
6051335287,Banco Industrial,2609,2018-06-17,False
5954267746,BAM,2167,2015-06-20,False
3114793607,Banrural,2619,2010-11-04,True
2655889960,G&T,6536,2014-06-28,False
2017307983,G&T,4261,2013-04-21,True
1458227101,Bantrab,6923,2019-11-03,True
8344745239,Ficohsa,2165,2023-07-07,True
7613894021,Bantrab,3605,2022-11-09,False
7968768298,BAM,5614,2016-07-23,False
8422884030,Banrural,6926,2017-12-07,True
8005036657,Banco Industrial,1767,2021-05-06,False
3808206263,G&T,6271,2023-05-26,False
5455706399,G&T,4917,2019-11-26,True
2704281252,BAM,1727,2011-07-27,False
2507913951,BAM,3613,2013-07-13,True
5116443318,Banco Industrial,218,2019-08-19,True
4780233348,Banco Industrial,6256,2010-05-18,False
5718921203,G&T,6700,2023-09-08,False
8447042690,Banrural,5430,2011-11-10,True
2259146451,Banco Azteca,1547,2023-10-23,True
3774548996,Bantrab,4426,2017-04-09,True
3732860743,G&T,4595,2017-01-12,True
6713345782,Banrural,3372,2016-02-03,True
6091402282,Ficohsa,4777,2014-04-14,True
7264889825,Ficohsa,962,2016-12-03,True
7742147466,Banco Industrial,4037,2017-08-18,False
7289232505,G&T,3753,2013-08-07,False
1424808361,Banco Industrial,1400,2010-07-23,False
1750961568,Banco Azteca,2384,2015-01-08,True
2763696352,Bantrab,6192,2017-08-13,True
1888846574,G&T,4959,2023-03-07,True
3579049200,BAM,4057,2014-12-13,True
3543185884,Bantrab,2229,2019-01-05,False
3537423396,Banco Industrial,543,2020-09-04,True
5760725174,Banco Industrial,6287,2017-05-31,False
6170721225,G&T,2722,2013-04-05,False
3060419501,Ficohsa,6013,2010-10-02,True
3836820095,G&T,2383,2016-09-14,True
7687080286,Banrural,6570,2012-02-06,False
8287911659,Banco Industrial,729,2016-08-27,True
6921995482,G&T,6963,2017-08-16,False
7395612674,G&T,5,2020-02-26,True
8220548006,Banrural,6600,2020-06-08,False
1486926151,G&T,1430,2021-07-27,False
4536248937,Banco Azteca,368,2022-06-17,False
7610753894,Bantrab,914,2018-09-13,True
7816767503,BAM,3752,2021-06-24,True
6634065460,Banco Industrial,1887,2015-03-01,False
6645164562,Banco Industrial,93,2016-04-23,False
5375885074,Bantrab,5377,2014-03-10,False
6963515999,Banco Industrial,5322,2015-04-02,False
5111817306,Banrural,5926,2018-12-28,True
6882856013,Banco Industrial,2414,2010-11-05,False
7632128785,BAM,1935,2012-08-04,True
8142601377,G&T,3011,2021-03-27,True
1167306391,G&T,3211,2020-11-08,True
1487832167,Banco Azteca,2104,2011-03-01,False
3542374309,Bantrab,6190,2012-07-28,False
8402212488,Bantrab,881,2019-09-03,True
2378260091,Banrural,4734,2016-12-07,True
7995388868,Banco Azteca,6118,2021-06-24,True
5342858544,Ficohsa,4448,2021-10-06,True
3805990195,Ficohsa,2718,2017-04-25,True
5228913331,Banco Industrial,516,2013-02-16,True
5106170563,Banco Azteca,4478,2014-09-29,False
5896552828,Bantrab,1702,2012-05-27,True
1895525839,Banco Industrial,1236,2010-01-19,True
1817678605,Banco Azteca,3853,2021-03-29,False
6413750800,Bantrab,1718,2013-03-12,True
2295476036,G&T,4729,2018-10-28,True
7058582980,Bantrab,3384,2017-09-13,True
5294911865,Ficohsa,5900,2014-08-29,False
8848410161,BAM,5172,2018-05-02,False
1933197752,Ficohsa,3554,2010-12-13,True
1424348428,G&T,3936,2012-09-30,False
8855545889,BAM,3156,2019-04-19,True
6776272547,Ficohsa,4875,2016-07-09,False
8124925768,G&T,5745,2015-03-24,True
2142560441,Banco Industrial,6893,2023-12-21,True
5926565290,Bantrab,3437,2018-10-06,True
4775892124,Bantrab,5692,2012-12-02,False
4758226269,BAM,1467,2012-09-26,False
4284813609,Banco Industrial,4775,2020-03-02,False
8219207633,Ficohsa,6290,2018-06-21,False
4339999243,Banco Azteca,5440,2014-02-07,False
4291869371,Banco Industrial,1996,2019-12-28,True
3319231634,Ficohsa,2261,2015-09-05,True
4885567097,Ficohsa,5320,2011-04-05,False
8729178794,Ficohsa,1448,2023-12-27,True
3932670494,Banrural,1572,2019-11-04,True
5753689276,G&T,6672,2022-08-19,True
4743414730,Bantrab,4373,2012-02-27,False
1600106436,Bantrab,1200,2012-05-25,True
7428486799,BAM,1571,2021-08-22,False
4203878283,Ficohsa,524,2011-11-18,True
6577301048,Banco Industrial,6389,2016-09-30,True
4207621095,BAM,207,2015-12-06,True
4666833792,G&T,2110,2016-10-19,True
4536923097,BAM,1172,2018-04-12,False
8533306482,Ficohsa,6420,2018-11-22,False
4865339368,Bantrab,2414,2011-12-19,False
1096772568,BAM,3141,2023-12-15,False
3805321370,G&T,2923,2014-04-03,True
8863315363,Ficohsa,3174,2019-08-01,False
5651465696,Ficohsa,5956,2018-10-28,True
5034648195,G&T,6820,2012-12-16,False
7244061071,BAM,705,2017-02-04,False
6965775100,Bantrab,787,2019-11-20,False
5350845813,Banrural,1729,2020-06-02,True
5504863920,BAM,3012,2013-04-20,False
1376570875,Bantrab,507,2015-02-14,True
5456510063,Ficohsa,6474,2011-10-11,False
5957951134,Banco Azteca,4997,2013-10-27,True
7684485747,BAM,705,2017-03-17,False
2921599387,Banco Azteca,394,2018-08-26,True
2776072308,Ficohsa,6390,2017-06-27,True
6469794576,Banco Industrial,25,2014-12-31,True
7763666554,Banco Industrial,774,2016-04-19,True
8646686009,Bantrab,6086,2022-12-21,False
1304071846,BAM,4798,2013-07-10,False
1280569655,Banrural,5008,2020-11-04,False
5637641519,G&T,2571,2020-07-05,True
8469924535,Banrural,2781,2021-04-26,False
7861178486,Banco Azteca,3980,2016-09-22,True
4546093763,Banrural,5805,2018-04-18,True
3089668377,Banrural,2756,2019-08-16,True
5087985403,Bantrab,3949,2020-12-08,False
6777964084,Banrural,3588,2012-11-14,False
7771180761,BAM,5179,2010-12-12,False
8904332729,Banco Azteca,5006,2022-03-20,False
2878928459,Banrural,3277,2011-01-03,False
7525092500,Banrural,1148,2015-12-15,True
1918137678,Banco Industrial,4888,2018-12-30,False
5300109037,BAM,118,2017-02-01,False
4134404587,Banrural,3687,2012-05-27,False
1745383544,Banrural,2372,2015-08-13,True
8672615356,Ficohsa,3722,2019-05-20,False
2677546462,Bantrab,159,2018-01-24,True
7855212766,Banco Azteca,2830,2016-05-31,False
8753778204,Banco Industrial,546,2019-12-17,True
6579773008,Banrural,2727,2012-10-26,True
5386360775,Ficohsa,5073,2020-10-01,True
3588185404,Ficohsa,1715,2018-03-31,False
6649261728,BAM,4337,2022-08-22,True
5364516989,Banco Industrial,3094,2013-05-04,True
3178719911,Banco Azteca,4577,2011-05-24,False
1325906135,Banco Industrial,5792,2023-10-15,False
7089396060,G&T,952,2018-03-25,False
2183101819,BAM,2366,2018-01-25,True
1811791375,Bantrab,6984,2022-09-09,False
4764665044,G&T,5817,2010-09-08,True
4671648921,G&T,2411,2012-09-04,False
6811348155,Ficohsa,4790,2021-08-17,False
6295602149,G&T,6781,2012-07-21,False
2581444593,BAM,4728,2019-12-06,True
4786400526,Banco Azteca,5852,2016-09-08,False
1283807416,Banco Industrial,5141,2013-09-30,True
8607881055,Banco Industrial,4797,2021-07-28,False
5364021527,Ficohsa,6722,2010-11-12,False
3938415766,Banco Azteca,3856,2011-11-17,True
8774497791,Banco Azteca,5535,2017-08-24,False
4708473355,Bantrab,150,2014-01-03,False
1653501995,Ficohsa,6938,2011-02-02,False
6210135281,G&T,4419,2022-03-05,True
1449933427,Banco Azteca,2874,2011-02-01,True
3526656127,Banco Azteca,5946,2019-10-26,True
8921194395,Bantrab,2701,2022-02-14,True
5199387920,Ficohsa,5369,2011-10-22,True
3600642365,Banco Azteca,3500,2013-05-09,True
1070493258,Ficohsa,5309,2018-04-03,False
7922641895,G&T,1296,2023-11-30,True
7981702312,BAM,3104,2015-06-01,True
8763578543,Banco Industrial,1668,2018-07-21,False
8764934067,Banrural,5720,2015-10-21,True
4307937303,Ficohsa,1074,2012-10-27,True
5277340463,G&T,2121,2013-02-26,True
2031306091,Banco Industrial,524,2021-02-03,True
3348402886,Banrural,2951,2015-08-30,False
8274281034,Bantrab,1349,2012-04-23,False
6960635100,BAM,4228,2021-07-08,False
2518465846,Bantrab,4055,2016-10-27,True
8308754441,Banco Azteca,5938,2018-07-01,False
2129760838,Bantrab,4131,2023-05-28,True
4243702751,G&T,4403,2013-07-09,True
6209295227,Bantrab,6230,2022-08-11,False
6749513485,G&T,1252,2020-11-23,True
8582450570,Banco Industrial,1060,2015-12-07,True
8646037982,Ficohsa,3823,2012-10-19,False
5025592235,Ficohsa,5275,2015-01-14,True
7978694492,Banrural,3920,2017-03-14,True
5359958524,BAM,3517,2020-07-09,True
6806400144,G&T,4965,2010-08-19,True
4359249823,Banco Azteca,1609,2022-12-05,True
2022743166,Bantrab,4014,2023-10-04,False
3076397571,G&T,5773,2011-10-17,True
6940164017,G&T,3713,2010-08-06,True
5077398520,Ficohsa,6390,2023-06-26,False
6173781772,Ficohsa,1004,2022-05-19,True
8766492935,Banco Industrial,4777,2021-11-02,False
5788708849,Bantrab,4724,2018-09-24,True
1804930758,Bantrab,1933,2014-03-23,False
2105425908,G&T,633,2016-02-17,True
3497432372,Banrural,1693,2017-07-03,False
5576006336,Ficohsa,1429,2018-04-04,True
8607800528,Ficohsa,1261,2019-07-05,True
2031934599,BAM,2520,2012-08-25,True
6386492310,Bantrab,1934,2010-06-03,True
6437943662,Banrural,3061,2022-05-16,False
1769327730,BAM,1029,2023-08-08,True
1905739658,Bantrab,4022,2015-08-03,True
5951007273,Bantrab,6241,2019-04-17,False
3697054093,Ficohsa,2543,2023-06-14,True
8603705394,Banco Azteca,6510,2011-05-09,False
8583414241,BAM,2271,2016-07-11,False
8662790794,G&T,353,2013-10-21,False
7986872498,Banrural,6503,2018-02-17,False
2950496277,Banco Azteca,24,2011-03-13,False
8254154216,Banrural,256,2015-10-06,False
7337254673,G&T,1018,2023-07-18,False
